Category;TotalNumberActual;TotalNumberExpected;AddedEntries;RemovedEntries;ContentDifferences;Comment
JsonContractsDerivatives;2295;2296;4;5;2284;
JsonContractsSecurities;900;900;0;0;0;
YieldCurve;1570;1570;0;0;0;
SurvProbCurve;1655;1655;0;0;0;
CurveOptimization;2434;2434;0;0;0;
CurveMonitoring;128;128;0;0;0;
YieldCurveOutput;12893;12893;0;0;0;
Correlation;28;28;0;0;0;
VolaMonitoring;0;0;0;0;0;
PricingExportDerivatives;33744;33736;8;0;197;
PricingExportSecurities;10640;10640;0;0;6;
StatusPricingExportDerivatives;2288;2288;0;0;0;
StatusPricingExportSecurities;905;905;0;0;0;
ScenarioCDS;59360;59360;0;0;0;
StatusScenarioCDS;3283;3283;0;0;0;
ScenarioRating;67840;67840;0;0;0;
StatusScenarioRating;3752;3752;0;0;0;
IRRBBDerivativesCluster1;7992;7992;0;0;1344;
IRRBBDerivativesCluster2;7819;7819;0;0;1260;
IRRBBDerivativesCluster3;8149;8149;0;0;1284;
IRRBBDerivativesCluster4;8019;8019;0;0;1245;
IRRBBDerivativesCluster5;7790;7790;0;0;1245;
IRRBBDerivativesCluster6;7765;7765;0;0;1276;
StatusIRRBBDerivativesCluster1;560;560;0;0;0;
StatusIRRBBDerivativesCluster2;542;542;0;0;0;
StatusIRRBBDerivativesCluster3;560;560;0;0;0;
StatusIRRBBDerivativesCluster4;560;560;0;0;0;
StatusIRRBBDerivativesCluster5;548;548;0;0;0;
StatusIRRBBDerivativesCluster6;547;547;0;0;0;
IRRBBSecuritiesCluster1;18162;18162;0;0;962;
IRRBBSecuritiesCluster2;17886;17886;0;0;980;
IRRBBSecuritiesCluster3;17438;17438;0;0;1096;
IRRBBSecuritiesCluster4;18002;18002;0;0;1150;
IRRBBSecuritiesCluster5;17724;17724;0;0;1105;
IRRBBSecuritiesCluster6;17305;17305;0;0;1140;
StatusIRRBBSecuritiesCluster1;1105;1105;0;0;0;
StatusIRRBBSecuritiesCluster2;1088;1088;0;0;0;
StatusIRRBBSecuritiesCluster3;1062;1062;0;0;0;
StatusIRRBBSecuritiesCluster4;1094;1094;0;0;0;
StatusIRRBBSecuritiesCluster5;1080;1080;0;0;0;
StatusIRRBBSecuritiesCluster6;1062;1062;0;0;0;
PricingDerivatives;40360;40352;8;0;197;
PricingSecurities;14826;14826;0;0;10;
StatusPricingDerivatives;2296;2288;8;0;0;
StatusPricingSecurities;905;905;0;0;0;
BondCashflows;3908;3908;0;0;0;
SACCRPreprocessing;43548;43548;0;0;123;Differences in 120 of 2292 SaccrPreprocessing(s).
SACCRResultSingle;9168;9168;0;0;1034;Differences in 929 of 2292 SaccrResultSingle(s).
SACCRResultNettingSet;156;156;0;0;53;Differences in 20 of 39 SaccrResultNettingSet(s).
Sensi1Isda;434;434;0;0;345;
Sensi2Isda;455;455;0;0;303;
Sensi3Isda;397;397;0;0;289;
Sensi4Isda;459;459;0;0;320;
Sensi5Isda;458;458;0;0;336;
Sensi6Isda;496;496;0;0;374;
Sensi7Isda;451;451;0;0;329;
Sensi8Isda;501;501;0;0;381;
Sensi9Isda;484;484;0;0;348;
Sensi10Isda;420;420;0;0;313;
Sensi11Isda;430;430;0;0;316;
Sensi12Isda;421;421;0;0;304;
Sensi1InitialMargin;24950;24950;0;0;2268;
Sensi2InitialMargin;24383;24383;0;0;2778;
Sensi3InitialMargin;23564;23564;0;0;2761;
Sensi4InitialMargin;25748;25748;0;0;3744;
Sensi5InitialMargin;26021;26021;0;0;3313;
Sensi6InitialMargin;26978;26978;0;0;3064;
Sensi7InitialMargin;26302;26302;0;0;2599;
Sensi8InitialMargin;27375;27375;0;0;2988;
Sensi9InitialMargin;26745;26745;0;0;2405;
Sensi10InitialMargin;24761;24761;0;0;3023;
Sensi11InitialMargin;24425;24425;0;0;3237;
Sensi12InitialMargin;24396;24396;0;0;2244;
Status1SensiInitialMargin;2311;2311;0;0;0;
Status2SensiInitialMargin;2255;2255;0;0;0;
Status3SensiInitialMargin;2177;2177;0;0;0;
Status4SensiInitialMargin;2381;2381;0;0;0;
Status5SensiInitialMargin;2409;2409;0;0;0;
Status6SensiInitialMargin;2499;2499;0;0;0;
Status7SensiInitialMargin;2431;2431;0;0;0;
Status8SensiInitialMargin;2549;2549;0;0;0;
Status9SensiInitialMargin;2487;2487;0;0;0;
Status10SensiInitialMargin;2289;2289;0;0;0;
Status11SensiInitialMargin;2257;2257;0;0;0;
Status12SensiInitialMargin;2262;2262;0;0;0;
InitialMarginResult;36;36;0;0;36;
EmirDeltaPricing;312;312;0;0;12;
EmirDeltaPricingStatus;24;24;0;0;0;
